SOURCE,DOMAINS,NOTABLE WORKS,RELIABILITY,NOTES and CAUTIONS
Peter Attia,"Longevity, Health, Fitness, Nutrition, Metabolism, Strength Training, Sleep","Outlive: The Science and Art of Longevity, The Drive Podcast, Early and Often (newsletter). Medical degree (Stanford), surgical training (Johns Hopkins).",HIGH,"Physician with deep expertise in longevity medicine. Outlive is excellent on the 'four horsemen' (heart disease, cancer, neurodegenerative disease, metabolic dysfunction) and is directly referenced in the Body and Fuel phases. Some commercial interests (membership model, supplements). Podcast guests are of variable quality — use the book and core frameworks, not every guest episode. Somewhat troublesome politically; best used as inspiration rather than quoted by name."
Brené Brown,"Empathy, Vulnerability, Emotional Intelligence, Coaching, Leadership, Shame Resilience","Daring Greatly, The Gifts of Imperfection, Rising Strong, Braving the Wilderness, Dare to Lead, Atlas of the Heart, I Thought It Was Just Me. Published Research (University of Houston). Multiple TED talks (60M+ combined views).",VERY HIGH,"Research professor of social work. Twenty years of qualitative research on vulnerability, courage, shame, and empathy. Referenced throughout the program — Week 1 (Power of Vulnerability TED talk), Week 6 (rumble framework, Atlas of the Heart), Week 11 (self-compassion), Weeks 1 & 15 (Dare to Lead values exercise). Core to the program's emotional foundation. No significant cautions — widely respected across academic and applied settings."
Michael Bungay Stanier,"Coaching, Leadership, Curiosity, Behaviour Change","The Coaching Habit, The Advice Trap, How To Begin, How To Work With (Almost) Anyone. Founder of Box of Crayons (coaching training company). Rhodes Scholar.",VERY HIGH,"The Coaching Habit is the best-selling coaching book of the decade — practical, concise, and directly applicable to the peer coaching model in this program. The seven essential questions framework ('And what else?', 'What's the real challenge here for you?') maps directly to Weeks 5–8 coaching skill progression. The Advice Trap deepens the 'stay curious longer' discipline. Respected across ICF, corporate, and education coaching communities. No significant cautions."
International Coaching Federation,"Coaching Standards, Ethics, Competency Frameworks, Professional Development","ICF Code of Ethics, ICF Core Competencies (8 competencies, updated 2019), ICF Credentialing Framework (ACC, PCC, MCC). Global governing body for professional coaching.",VERY HIGH,"The global standard-setting body for professional coaching with 60,000+ members worldwide. ICF Core Competencies are the backbone of the coaching skill progression throughout this program (Weeks 1–16). The Code of Ethics underpins Week 1's scope-of-practice discussion (coaching vs. therapy vs. training). Non-negotiable reference for any coaching-based program. No cautions."
Adam Grant,"Organisational Psychology, Motivation, Rethinking, Generosity, Potential","Think Again, Originals, Give and Take, Hidden Potential, Option B (with Sheryl Sandberg). Published Research (Wharton School, University of Pennsylvania). WorkLife Podcast.",VERY HIGH,"Youngest tenured professor at Wharton. Prolific researcher with genuine academic credentials in organisational psychology. Think Again is relevant to growth mindset and challenging assumptions (Weeks 2, 4). Give and Take connects to coaching culture and generosity in group dynamics. Hidden Potential aligns with the 'Do What You Can' philosophy — progress over perfection. Strong communicator who stays close to the evidence. No significant cautions."
Wendy Wood,"Habits, Behaviour Change, Psychology, Automaticity","Good Habits, Bad Habits: The Science of Making Positive Changes That Stick. Published Research (University of Southern California). Provost Professor of Psychology and Business.",VERY HIGH,"One of the world's leading academic researchers on habit formation. Thirty years of published peer-reviewed research on automaticity and behaviour change. Good Habits, Bad Habits is the most research-grounded book in the habits space — more rigorous than Clear (Atomic Habits) on the underlying science. Directly relevant to Week 3 (habit loop, environment design, friction management). Complementary to Clear and Fogg — Wood provides the deepest academic foundation."
James Clear,"Habits, Behaviour Change, Identity, Systems Design","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones. 3-2-1 Newsletter (2M+ subscribers). jamesclear.com.",HIGH,"Excellent synthesiser and communicator, not a primary researcher. Atomic Habits is one of the best-selling non-fiction books of the decade and is directly referenced in Week 3 (habit stacking). The identity-based habit framework ('I'm becoming someone who...') is also relevant to Week 15's identity and values work. Clear's strength is accessibility — use alongside Wood (academic depth) and Fogg (behaviour design). His habit stacking video is a Week 3 home task."
Daniel Lieberman,"Evolutionary Biology, Anthropology, Human Movement, Biomechanics, Evolutionary Mismatch","Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding, The Story of the Human Body: Evolution, Health, and Disease. Published Research (Harvard University). Professor of Human Evolutionary Biology.",VERY HIGH,"Harvard professor and one of the foremost authorities on why humans evolved to move — and what happens when we don't. Directly referenced in Week 7 (evolutionary context for movement), Week 9 (aerobic fitness), and Week 12 (evolutionary mismatch and nutrition). His central argument — that we evolved for regular, varied physical activity, not for exercise — is foundational to the program's 'all movement is good' philosophy. Rigorous, evidence-based, no significant cautions."
David Epstein,"Generalism, Learning, Talent Development, Sport Science","Range: Why Generalists Triumph in a Specialized World, The Sports Gene: Inside the Science of Extraordinary Athletic Performance. Investigative journalist (ProPublica).",MEDIUM,"Investigative journalist, not a researcher. Range makes a compelling case for broad experience over narrow specialisation — useful counterbalance to the performative culture that many participants may come from. The Sports Gene is relevant background for dispelling fitness myths. A useful book for considering different approaches to life, but not a core reference for the program's primary domains."
Rhonda Patrick,"Nutrition, Supplementation, Longevity, Micronutrients, Sauna and Cold Exposure","FoundMyFitness Podcast and Platform. PhD in Biomedical Science (University of Tennessee). Postdoctoral research (Salk Institute, with Bruce Ames).",HIGH,"Legitimate PhD researcher with genuine credentials in micronutrients and ageing. Excellent on vitamin D, omega-3s, and sauna research. Often too much focus on mechanisms over outcomes — deep biochemistry that may not translate directly to practical recommendations for general populations. Best used as background science for the facilitator rather than participant-facing content. Some commercial interests (supplement recommendations)."
Layne Norton,"Nutrition, Resistance Training, Evidence-Based Fitness, Body Composition","Instagram @biolayne, Biolayne Podcast, Carbon Diet Coach (app). PhD in Nutritional Sciences (University of Illinois). Published Research. Champion powerlifter and natural bodybuilder.",MEDIUM,"Rigorous scientist with a genuine PhD and published research in nutritional sciences. Excellent at debunking fitness and nutrition misinformation. However, often controversial and unpalatable in delivery — combative social media presence that may alienate participants. Occasionally lets opinion sway advice. Best used as a background fact-checking resource for the facilitator rather than a participant-facing source. Relevant to Weeks 8 (strength) and 12–13 (nutrition)."
Andy Galpin,"Exercise Physiology, Resistance Training, Aerobic Training, VO2 Max, Bioenergetics, Longevity, Sleep, Performance","PERFORM Podcast, Perform with Dr. Andy Galpin (YouTube), Published Research (California State University, Fullerton). PhD in Human Bioenergetics. Huberman Lab guest series on fitness. Co-author of Unplugged.",VERY HIGH,"Professor of Kinesiology with genuine published research in muscle physiology, bioenergetics, and exercise science. One of the most accessible and rigorous voices in exercise science. His Huberman Lab guest series on fitness is an excellent deep-dive. Directly relevant to Weeks 7–9 (movement, strength, aerobic fitness) and Week 10 (recovery). Rare combination of genuine academic depth and exceptional communication ability. No significant cautions — one of the safest and most credible sources on the list."
Carol Dweck,"Growth Mindset, Psychology, Motivation, Education, Personal Development","Mindset: The New Psychology of Success (updated edition). Published Research (Stanford University). Lewis and Virginia Eaton Professor of Psychology.",VERY HIGH,"Stanford professor and originator of growth mindset theory — one of the most influential ideas in modern psychology and education. Directly referenced in Week 2 (motivation) and woven throughout the program's philosophy. The core distinction (fixed vs. growth mindset) is well-validated. Caution: Dweck herself has acknowledged that growth mindset interventions in schools have shown smaller effects than initially hoped, and the concept is sometimes oversimplified in popular use. Use with nuance — it's a lens, not a magic switch."
Simon Sinek,"Leadership, Purpose, Motivation, Organisational Culture","Start With Why, Leaders Eat Last, The Infinite Game, Find Your Why, Together Is Better. TED talk (65M+ views, third most watched ever).",HIGH,"Exceptional communicator and thought leader on purpose-driven leadership. Start With Why ('People don't buy what you do, they buy why you do it') connects to intrinsic motivation (Week 2) and values work (Weeks 1 & 15). Leaders Eat Last is relevant to group dynamics and psychological safety. Not a researcher — draws on existing research and historical examples to build frameworks. Strong on inspiration, occasionally light on nuance. Best used for motivational framing rather than scientific authority."
Lauren Colenso-Semple,"Women's Health, Menopause, Resistance Training, Supplementation, Body Composition, Exercise Science","Instagram @laurencs, Published Research (McMaster University, studying under Stuart Phillips). PhD candidate in Kinesiology. Podcast guest appearances.",VERY HIGH,"Emerging researcher with genuine academic credentials at one of the world's leading exercise science labs (Stuart Phillips' group at McMaster). Specialises in resistance training for women, menopause-related changes, and evidence-based supplementation. Particularly valuable for ensuring the program's physical content is inclusive and informed on sex-specific considerations. Excellent science communicator on social media. No significant cautions — rigorous and balanced."
Robert Lustig,"Nutrition, Metabolism, Sugar, Processed Food, Neuroendocrinology","Fat Chance: Beating the Odds Against Sugar, Processed Food, Obesity, and Disease, The Hacking of the American Mind, Metabolical: The Lure and the Lies of Processed Food, Nutrition, and Modern Medicine. Published Research (UCSF). Professor of Pediatric Endocrinology.",MEDIUM,"Legitimate researcher and pediatric endocrinologist at UCSF with genuine expertise in sugar metabolism and processed food. His 'Sugar: The Bitter Truth' lecture went viral. Often too much focus on mechanisms over outcomes, and tends toward single-cause explanations (fructose as the root of metabolic disease). Some commercial exposure. Useful for understanding processed food dangers (Week 12 evolutionary mismatch context), but balance with broader nutrition perspectives."
Tom Dayspring,"Lipid Metabolism, Cardiovascular Health, Lipoprotein Science","Lipid and Lipoprotein Disorders (with William Cromwell), Published Research. Frequent podcast guest (The Drive with Peter Attia, The Peter Attia Show). X @drlipid. Clinical lipidologist and Fellow of the National Lipid Association.",VERY HIGH,"One of the world's foremost clinical lipidologists. Unmatched depth on lipoprotein science and cardiovascular risk. Highly technical — best used as facilitator background knowledge for understanding heart health rather than participant-facing content. His Attia podcast appearances are masterclasses in lipid science. Relevant background for Week 10 (recovery, longevity context) and general health literacy. No significant cautions — impeccably evidence-based."
Stuart Phillips,"Resistance Training, Protein, Muscle Physiology, Ageing, Women's Training, Exercise Science","Instagram @mackinprof, Published Research (McMaster University). Professor of Kinesiology and Canada Research Chair in Skeletal Muscle Health. 400+ published papers.",VERY HIGH,"One of the most published and cited researchers in exercise science worldwide. Leading authority on protein requirements, resistance training adaptations, and muscle health across the lifespan. His lab at McMaster (where Lauren Colenso-Semple also works) is world-class. Directly relevant to Week 8 (strength training, progressive overload, protein) and the evidence base for resistance training benefiting everyone. Accessible on social media despite enormous academic credentials. No significant cautions — gold-standard researcher."
Martin Seligman,"Positive Psychology, Wellbeing, Optimism, Resilience, Character Strengths","Flourish, Learned Optimism, Authentic Happiness, The Hope Circuit (memoir), Character Strengths and Virtues (with Christopher Peterson). Published Research (University of Pennsylvania). Former President of the American Psychological Association. Creator of PERMA model.",VERY HIGH,"The founder of positive psychology and creator of the PERMA model that structures this entire program. Learned Optimism is the basis for the pre-course and Week 16 optimism assessments. His character strengths work (with Peterson and the VIA Institute) underpins the VIA survey used from pre-course through Week 15. Former APA President with decades of rigorous published research. Foundational — the program cannot exist without this source. No significant cautions."
ISSA,"Resistance Training, Nutrition, Behaviour Change, Motivation, Exercise Science, Coaching","Certified Personal Trainer (CPT) certification, Transformation Specialist certification, Nutritionist certification, Exercise Therapy certification. International Sports Sciences Association.",VERY HIGH,"Accredited certification body for personal training and fitness professionals. ISSA CPT and Transformation Specialist are the basis for the program creator's fitness and behaviour change credentials. Directly referenced throughout the Body phase (Weeks 7–9), Fuel & Recovery (Weeks 10–14), and behaviour change modules. Transformation Specialist certification is particularly relevant — it bridges exercise science with motivation and coaching. Curriculum is well-structured and evidence-informed for applied practice. No significant cautions."
Phil Maffetone,"Aerobic Training, Exercise Physiology, Nutrition, Heart Rate Training, Endurance","The Big Book of Endurance Training and Racing, The Endurance Handbook, The Big Book of Health and Fitness, The Maffetone Method, The Overfat Pandemic, 1:59 (on Eliud Kipchoge). Published Research. DC (Doctor of Chiropractic). Coached Mark Allen (six-time Ironman World Champion).",VERY HIGH,"Pioneer of low-heart-rate aerobic training and the MAF (Maximum Aerobic Function) method. The 180-Age formula is directly taught in Week 9 as one practical approach for self-regulated aerobic training. The Maffetone Method is the preferred approach for beginners looking to start running or aerobic training. Coached some of the greatest endurance athletes in history. The revised course calendar frames MAF as 'one practical method' rather than the default, acknowledging that individualised HR zones may be more accurate for some — but the core principle that low-intensity aerobic work is foundational remains central to the program."
Steve House,"Aerobic Training, Mountaineering, Endurance Coaching","Training for the Uphill Athlete (with Scott Johnston & Kilian Jornet), Training for the New Alpinism (with Scott Johnston)",HIGH,"Respected alpinist and endurance coach. Practical, experience-based approach to aerobic development. Best used as applied coaching methodology alongside the physiology sources."
Kate Murphy,"Communication, Listening, Relationships","You're Not Listening: What You're Missing and Why It Matters",HIGH,"Well-researched journalism synthesising academic listening research. Excellent companion to the coaching and listening modules (Weeks 5–6). Not a primary researcher, but rigorous in sourcing."
James Nestor,"Breathwork, Health, Physiology","Breath: The New Science of a Lost Art",MEDIUM,"Investigative journalist. Engaging and awareness-raising, but some claims (mouth-taping, nasal breathing protocols) are contested by ENT and sleep specialists. Good for sparking interest, not for prescriptive protocols."
Yuval Noah Harari,"History, Anthropology, Philosophy","Sapiens: A Brief History of Humankind, Homo Deus, 21 Lessons for the 21st Century",HIGH,"Popular historian-philosopher. Excellent for big-picture context on human evolution and behaviour. Not a specialist in any single domain — uses broad strokes that specialists sometimes dispute. Best for framing, not technical detail."
Daniel H. Pink,"Motivation, Behavioral Science, Timing","Drive: The Surprising Truth About What Motivates Us, To Sell Is Human, When: The Scientific Secrets of Perfect Timing, A Whole New Mind",HIGH,"Good synthesiser of motivation research, particularly SDT. Drive is directly relevant to Week 2's motivation module. Populariser rather than primary researcher, but generally faithful to the science."
Robert Greene,"Strategy, Human Nature, Power Dynamics, Leadership","The Laws of Human Nature, Mastery, The 48 Laws of Power, The Art of Seduction, The 33 Strategies of War",MEDIUM,"Thought-provoking but ethically complex. Historical anecdotes used selectively. The Laws of Human Nature is the most relevant to this program. Some works (48 Laws, Art of Seduction) promote manipulative tactics — use as perspective on human behaviour, not as coaching guidance."
Ed Catmull,"Creativity, Leadership, Organisational Culture","Creativity, Inc. (with Amy Wallace)",HIGH,"Genuine leadership experience as co-founder of Pixar. Practical wisdom on psychological safety, creative collaboration, and honest feedback culture. Relevant to group dynamics and coaching environment."
Daniel Kahneman,"Psychology, Decision-Making, Behavioral Economics","Thinking, Fast and Slow. Nobel Prize in Economics (2002). Published Research.",VERY HIGH,"Nobel laureate. Foundational for understanding cognitive biases and dual-process thinking. Caution: some of the priming studies cited in the book have faced replication challenges, but the core System 1/System 2 framework remains robust and widely accepted."
Richard J. Johnson,"Metabolism, Nutrition, Obesity, Uric Acid","Nature Wants Us to Be Fat, The Fat Switch. Published Research (University of Colorado).",MEDIUM,"Legitimate researcher with an interesting fructose/uric acid hypothesis. Science is real but hypothesis-driven and not yet fully mainstream. Use for metabolic perspective, not as settled consensus."
Robert B. Cialdini,"Persuasion, Influence, Social Psychology","Influence: The Psychology of Persuasion, Pre-Suasion. Published Research (Arizona State University).",VERY HIGH,"Foundational work in persuasion psychology with well-replicated research. Relevant to coaching communication and understanding how influence operates in relationships. Classic and widely respected."
Katja Pantzar,"Wellbeing, Lifestyle, Cold Water, Nordic Culture","The Finnish Way: Finding Courage, Wellness, and Happiness Through the Power of Sisu",MEDIUM,"Journalist and memoirist, not a researcher. Inspirational perspective on Nordic wellbeing culture, cold-water practices, and 'sisu' (Finnish resilience). Journalistic, not scientific — use for cultural enrichment and perspective."
"Emily Nagoski, Amelia Nagoski","Burnout, Stress, Women's Health, Resilience","Burnout: The Secret to Unlocking the Stress Cycle. Emily Nagoski also authored Come As You Are.",HIGH,"Emily Nagoski has a PhD in Health Behavior. Evidence-based, particularly on the stress cycle and completing the stress response. Highly relevant to recovery, resilience, and the setbacks module (Week 11). Accessible and well-sourced."
Marion Franklin,"Coaching, Questioning Frameworks","The Heart of Laser-Focused Coaching: A Revolutionary Approach to Masterful Coaching",HIGH,"MCC (Master Certified Coach), ICF-credentialed. Respected coaching methodology with strong practical questioning frameworks. Directly relevant to coaching skill progression."
Marcia Reynolds,"Coaching, Leadership, Reflective Inquiry","Coach the Person, Not the Problem; The Discomfort Zone; Outsmart Your Brain",HIGH,"PsyD, MCC, past Global President of ICF. Global authority on reflective inquiry and emotional connection in coaching. Strong on coaching presence and evoking awareness."
